REGION_CODE,REGION_NAME,Month,Forecast_Appointments,Num_Sub_ICBs,Num_ICBs
E40000003,London,2026-02,4368654.311196992,5,5
E40000003,London,2026-03,4416091.817429841,5,5
E40000003,London,2026-04,4269638.322834195,5,5
E40000003,London,2026-05,4345686.667759251,5,5
E40000003,London,2026-06,4324137.380099328,5,5
E40000003,London,2026-07,4660624.409494955,5,5
E40000003,London,2026-08,4073700.2606489887,5,5
E40000003,London,2026-09,4556305.883049208,5,5
E40000003,London,2026-10,5196866.3375403825,5,5
E40000003,London,2026-11,4580068.492032406,5,5
E40000003,London,2026-12,4121601.840484768,5,5
E40000003,London,2027-01,4752473.632077081,5,5
E40000005,South East,2026-02,4342705.610378059,11,6
E40000005,South East,2026-03,4386153.526918295,11,6
E40000005,South East,2026-04,4262859.742446012,11,6
E40000005,South East,2026-05,4250891.073239619,11,6
E40000005,South East,2026-06,4191860.1710269675,11,6
E40000005,South East,2026-07,4493210.904879867,11,6
E40000005,South East,2026-08,3992835.527449061,11,6
E40000005,South East,2026-09,4444070.646603963,11,6
E40000005,South East,2026-10,5365429.915675723,11,6
E40000005,South East,2026-11,4527126.847252257,11,6
E40000005,South East,2026-12,4054020.870599457,11,6
E40000005,South East,2027-01,4740871.37155033,11,6
E40000006,South West,2026-02,3142393.1294801123,7,7
E40000006,South West,2026-03,3187527.8011964406,7,7
E40000006,South West,2026-04,3137012.2935207863,7,7
E40000006,South West,2026-05,3081668.5163445445,7,7
E40000006,South West,2026-06,3022051.245564118,7,7
E40000006,South West,2026-07,3295317.1854736144,7,7
E40000006,South West,2026-08,2882189.5673967935,7,7
E40000006,South West,2026-09,3214289.300275796,7,7
E40000006,South West,2026-10,4000473.935211354,7,7
E40000006,South West,2026-11,3301838.9672153844,7,7
E40000006,South West,2026-12,2945624.3512790026,7,7
E40000006,South West,2027-01,3467961.4225974837,7,7
E40000011,Midlands,2026-02,5562299.812610302,19,11
E40000011,Midlands,2026-03,5595444.193349976,19,11
E40000011,Midlands,2026-04,5515356.207915755,19,11
E40000011,Midlands,2026-05,5482756.305364295,19,11
E40000011,Midlands,2026-06,5446229.773197228,19,11
E40000011,Midlands,2026-07,5887177.267713134,19,11
E40000011,Midlands,2026-08,5209090.328017107,19,11
E40000011,Midlands,2026-09,5844500.629291187,19,11
E40000011,Midlands,2026-10,6993628.471933126,19,11
E40000011,Midlands,2026-11,5866675.402488327,19,11
E40000011,Midlands,2026-12,5330923.80448795,19,11
E40000011,Midlands,2027-01,6113572.976552841,19,11
E40000012,North East and Yorkshire,2026-02,4548883.647482312,23,4
E40000012,North East and Yorkshire,2026-03,4588083.882453143,23,4
E40000012,North East and Yorkshire,2026-04,4550322.4427971095,23,4
E40000012,North East and Yorkshire,2026-05,4505657.583920914,23,4
E40000012,North East and Yorkshire,2026-06,4461346.115172931,23,4
E40000012,North East and Yorkshire,2026-07,4868581.2798428275,23,4
E40000012,North East and Yorkshire,2026-08,4248037.86502399,23,4
E40000012,North East and Yorkshire,2026-09,4748667.44899631,23,4
E40000012,North East and Yorkshire,2026-10,5682453.601895769,23,4
E40000012,North East and Yorkshire,2026-11,4749219.314671628,23,4
E40000012,North East and Yorkshire,2026-12,4341017.172715688,23,4
E40000012,North East and Yorkshire,2027-01,4996168.010226792,23,4
