REGION_CODE,REGION_NAME,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E40000003,London,2026-02,2021270.6223046498,3850.0392805802853,5
E40000003,London,2026-03,2043218.8083852234,3891.8453493051875,5
E40000003,London,2026-04,1975458.320813268,3762.777753930034,5
E40000003,London,2026-05,2010644.0495347949,3829.7981895900857,5
E40000003,London,2026-06,2000673.715657162,3810.807077442213,5
E40000003,London,2026-07,2156358.120706274,4107.348801345284,5
E40000003,London,2026-08,1884802.5214127097,3590.100040786114,5
E40000003,London,2026-09,2108092.463172679,4015.414215567007,5
E40000003,London,2026-10,2404464.2830153825,4579.9319676483465,5
E40000003,London,2026-11,2119086.8472611485,4036.3558995450453,5
E40000003,London,2026-12,1906965.423118135,3632.31509165359,5
E40000003,London,2027-01,2198854.533116599,4188.294348793523,5
E40000005,South East,2026-02,2009264.7864302355,3827.171021771877,11
E40000005,South East,2026-03,2029367.0859136346,3865.461116025971,11
E40000005,South East,2026-04,1972322.0357186913,3756.8038775594123,11
E40000005,South East,2026-05,1966784.4221352683,3746.2560421624157,11
E40000005,South East,2026-06,1939472.252311083,3694.23286154492,11
E40000005,South East,2026-07,2078899.9437596016,3959.809416684955,11
E40000005,South East,2026-08,1847388.3663996682,3518.834983618415,11
E40000005,South East,2026-09,2056163.9355176648,3916.5027343193615,11
E40000005,South East,2026-10,2482454.5711465036,4728.484897421911,11
E40000005,South East,2026-11,2094592.0294825174,3989.6991037762236,11
E40000005,South East,2026-12,1875697.3439052922,3572.75684553389,11
E40000005,South East,2027-01,2193486.447961649,4178.069424688855,11
E40000006,South West,2026-02,1453909.2507435784,2769.3509537972923,7
E40000006,South West,2026-03,1474791.971025143,2809.1275638574157,7
E40000006,South West,2026-04,1451419.6681688824,2764.6088917502525,7
E40000006,South West,2026-05,1425813.4418655105,2715.8351273628773,7
E40000006,South West,2026-06,1398229.9734959474,2663.2951876113284,7
E40000006,South West,2026-07,1524663.510477772,2904.1209723386137,7
E40000006,South West,2026-08,1333519.3598542875,2540.0368759129287,7
E40000006,South West,2026-09,1487173.8689838105,2832.7121313977345,7
E40000006,South West,2026-10,1850922.4728112316,3525.5666148785367,7
E40000006,South West,2026-11,1527680.9810535363,2909.8685353400692,7
E40000006,South West,2026-12,1362869.09914694,2595.941141232267,7
E40000006,South West,2027-01,1604541.8207652853,3056.2701347910192,7
E40000011,Midlands,2026-02,2573541.507933905,4901.983824636009,19
E40000011,Midlands,2026-03,2588876.6107622236,4931.193544308997,19
E40000011,Midlands,2026-04,2551821.8381420025,4860.613025032386,19
E40000011,Midlands,2026-05,2536738.652194244,4831.883147036655,19
E40000011,Midlands,2026-06,2519838.7097532204,4799.692780482324,19
E40000011,Midlands,2026-07,2723854.4439255213,5188.294178905755,19
E40000011,Midlands,2026-08,2410120.0275714598,4590.704814421828,19
E40000011,Midlands,2026-09,2704108.996161456,5150.683802212297,19
E40000011,Midlands,2026-10,3235782.63846621,6163.3955018404,19
E40000011,Midlands,2026-11,2714368.7270595427,5170.226146780081,19
E40000011,Midlands,2026-12,2466489.4285956128,4698.075102086882,19
E40000011,Midlands,2027-01,2828602.2593158754,5387.8138272683345,19
E40000012,North East and Yorkshire,2026-02,2104658.374404259,4008.87309410335,23
E40000012,North East and Yorkshire,2026-03,2122795.374425272,4043.419760810042,23
E40000012,North East and Yorkshire,2026-04,2105324.070175576,4010.141086048716,23
E40000012,North East and Yorkshire,2026-05,2084658.7209250184,3970.778516047654,23
E40000012,North East and Yorkshire,2026-06,2064156.8767342549,3931.727384255724,23
E40000012,North East and Yorkshire,2026-07,2252574.731771891,4290.6185367083635,23
E40000012,North East and Yorkshire,2026-08,1965464.3117454886,3743.7415461818828,23
E40000012,North East and Yorkshire,2026-09,2197093.50432003,4184.940008228628,23
E40000012,North East and Yorkshire,2026-10,2629133.758348142,5007.873825425032,23
E40000012,North East and Yorkshire,2026-11,2197348.8392120856,4185.4263604039725,23
E40000012,North East and Yorkshire,2026-12,2008483.587186387,3825.6830232121656,23
E40000012,North East and Yorkshire,2027-01,2311606.024144931,4403.059093609392,23
