SUB_ICB_CODE,SUB_ICB_NAME,Required_GP_FTE,Required_Staff_FTE,Total_FTE,Priority_Flag,Priority_Score,REGION_CODE
W2U3Z,NHS North West London ICB - W2U3Z,1129.0414719996113,1092.6681077935964,2221.7095797932075,HIGH,2,E40000003
A3A8R,NHS North East London ICB - A3A8R,896.5088349142385,867.62677595099,1764.1356108652283,HIGH,2,E40000003
91Q,NHS Kent and Medway ICB - 91Q,734.4782305303502,710.8161730745201,1445.2944036048702,HIGH,2,E40000005
D9Y0V,NHS Hampshire and Isle Of Wight ICB - D9Y0V,731.3109798526876,707.7509590051553,1439.0619388578427,HIGH,2,E40000005
15E,NHS Birmingham and Solihull ICB - 15E,670.3666087338012,648.7699806065449,1319.136589340346,HIGH,2,E40000011
15N,NHS Devon ICB - 15N,661.0884672409268,639.7907450688941,1300.879212309821,HIGH,2,E40000006
72Q,NHS South East London ICB - 72Q,659.0787439610959,637.8457673264272,1296.924511287523,HIGH,2,E40000003
93C,NHS North Central London ICB - 93C,634.5701414490518,614.1267375160592,1248.696878965111,HIGH,2,E40000003
36L,NHS South West London ICB - 36L,622.0531423582287,602.012987887712,1224.0661302459407,HIGH,2,E40000003
D2P2L,NHS Black Country ICB - D2P2L,569.9218903209629,551.561203845106,1121.483094166069,HIGH,2,E40000011
15M,NHS Derby and Derbyshire ICB - 15M,475.4614456112231,460.1439105551315,935.6053561663547,HIGH,2,E40000011
52R,NHS Nottingham and Nottinghamshire ICB - 52R,465.02142333558066,450.0402255549288,915.0616488905093,HIGH,2,E40000011
92A,NHS Surrey Heartlands ICB - 92A,448.75623698057876,434.2990408082305,883.0552777888092,HIGH,2,E40000005
92G,NHS Bath and North East Somerset Swindon and Wiltshire ICB - 92G,446.7011561831749,432.3101667925707,879.0113229757457,CRITICAL,3,E40000006
70F,NHS Sussex ICB - 70F,438.9842256954967,424.84184605939845,863.8260717548951,HIGH,2,E40000005
15C,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,428.4689802788552,414.6653613178433,843.1343415966985,HIGH,2,E40000006
11J,NHS Dorset ICB - 11J,414.43580823738847,401.084283987057,815.5200922244454,HIGH,1,E40000006
B2M3M,NHS Coventry and Warwickshire ICB - B2M3M,409.3020895213163,396.11595389950025,805.4180434208165,STANDARD,0,E40000011
71E,NHS Lincolnshire ICB - 71E,394.77666339045913,382.05848100863295,776.835144399092,HIGH,1,E40000011
78H,NHS Northamptonshire ICB - 78H,372.5359323150197,360.5342605589567,733.0701928739765,STANDARD,0,E40000011
